s.no,academic_year,branch_id,branch_name,college_type,sem,college_id,college_code,college_name,venue,college_schedule_type,skill_offering_id,course_name,training_partner_id,training_partner_name,planned_week,session1_date,session1_time,session1_duration,session1_trainer,session1_trainer_profile,session1_head_count,session1_status,session2_date,session2_time,session2_duration,session2_trainer,session2_trainer_profile,session2_head_count,session2_status
51,2024-2025,37,B.Tech Information Technology,,6,897,7317,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,1,,,,,,,,,,,,,,
52,2024-2025,37,B.Tech Information Technology,,6,897,7317,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,2,,,,,,,,,,,,,,
53,2024-2025,37,B.Tech Information Technology,,6,897,7317,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,3,,,,,,,,,,,,,,
54,2024-2025,37,B.Tech Information Technology,,6,897,7317,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,4,,,,,,,,,,,,,,
55,2024-2025,37,B.Tech Information Technology,,6,897,7317,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,5,,,,,,,,,,,,,,
56,2024-2025,37,B.Tech Information Technology,,6,897,7317,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,6,,,,,,,,,,,,,,
57,2024-2025,37,B.Tech Information Technology,,6,897,7317,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,7,,,,,,,,,,,,,,
58,2024-2025,37,B.Tech Information Technology,,6,897,7317,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,8,,,,,,,,,,,,,,
59,2024-2025,37,B.Tech Information Technology,,6,897,7317,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,9,,,,,,,,,,,,,,
60,2024-2025,37,B.Tech Information Technology,,6,897,7317,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,10,,,,,,,,,,,,,,
